=== DAFTAR LENGKAP USER ID UNTUK PRESENTASI & TESTING ===
Total User yang tersedia di Web App: 11841 User
Catatan: Semua user di bawah ini dijamin akan menghasilkan rekomendasi yang personalized.

🌟 KATEGORI 1: User SUPER AKTIF (Membaca > 100 Buku)
Sangat bagus untuk demo melihat genre yang sangat spesifik.
--------------------------------------------------
User ID: 11676    | Telah merating: 1541 buku
User ID: 16795    | Telah merating: 309 buku
User ID: 153662   | Telah merating: 268 buku
User ID: 95359    | Telah merating: 258 buku
User ID: 98391    | Telah merating: 257 buku
User ID: 104636   | Telah merating: 253 buku
User ID: 114368   | Telah merating: 249 buku
User ID: 123883   | Telah merating: 186 buku
User ID: 158295   | Telah merating: 182 buku
User ID: 60244    | Telah merating: 175 buku
User ID: 135149   | Telah merating: 165 buku
User ID: 35859    | Telah merating: 163 buku
User ID: 204864   | Telah merating: 155 buku
User ID: 89602    | Telah merating: 141 buku
User ID: 235105   | Telah merating: 140 buku
User ID: 78973    | Telah merating: 137 buku
User ID: 13552    | Telah merating: 135 buku
User ID: 258534   | Telah merating: 132 buku
User ID: 31315    | Telah merating: 131 buku
User ID: 162639   | Telah merating: 131 buku
User ID: 7346     | Telah merating: 124 buku
User ID: 6575     | Telah merating: 123 buku
User ID: 21014    | Telah merating: 121 buku
User ID: 171118   | Telah merating: 120 buku
User ID: 140358   | Telah merating: 116 buku
User ID: 110934   | Telah merating: 111 buku
User ID: 177432   | Telah merating: 110 buku
User ID: 200226   | Telah merating: 109 buku
User ID: 37950    | Telah merating: 108 buku
User ID: 234828   | Telah merating: 108 buku
User ID: 273113   | Telah merating: 108 buku
User ID: 225087   | Telah merating: 107 buku
User ID: 189835   | Telah merating: 106 buku
User ID: 76151    | Telah merating: 105 buku
User ID: 23902    | Telah merating: 101 buku
User ID: 31826    | Telah merating: 101 buku
User ID: 232131   | Telah merating: 101 buku
User ID: 261829   | Telah merating: 101 buku

📘 KATEGORI 2: User AKTIF (Membaca 20-100 Buku)
Bagus untuk demo user normal yang rajin baca.
--------------------------------------------------
User ID: 46398    | Telah merating: 100 buku
User ID: 69078    | Telah merating: 99 buku
User ID: 100906   | Telah merating: 97 buku
User ID: 227520   | Telah merating: 96 buku
User ID: 110973   | Telah merating: 93 buku
User ID: 68555    | Telah merating: 90 buku
User ID: 126492   | Telah merating: 90 buku
User ID: 25981    | Telah merating: 89 buku
User ID: 105517   | Telah merating: 89 buku
User ID: 107784   | Telah merating: 89 buku
User ID: 210485   | Telah merating: 89 buku
User ID: 236283   | Telah merating: 89 buku
User ID: 112001   | Telah merating: 88 buku
User ID: 43246    | Telah merating: 87 buku
User ID: 91113    | Telah merating: 87 buku
User ID: 247447   | Telah merating: 87 buku
User ID: 75591    | Telah merating: 86 buku
User ID: 241980   | Telah merating: 85 buku
User ID: 55490    | Telah merating: 83 buku
User ID: 230522   | Telah merating: 83 buku
User ID: 255489   | Telah merating: 83 buku
User ID: 274061   | Telah merating: 83 buku
User ID: 37712    | Telah merating: 82 buku
User ID: 257204   | Telah merating: 82 buku
User ID: 265889   | Telah merating: 81 buku
User ID: 23872    | Telah merating: 80 buku
User ID: 76499    | Telah merating: 80 buku
User ID: 216683   | Telah merating: 80 buku
User ID: 219683   | Telah merating: 80 buku
User ID: 235282   | Telah merating: 80 buku
User ID: 88693    | Telah merating: 79 buku
User ID: 242083   | Telah merating: 79 buku
User ID: 245410   | Telah merating: 79 buku
User ID: 271448   | Telah merating: 79 buku
User ID: 185233   | Telah merating: 77 buku
User ID: 190925   | Telah merating: 77 buku
User ID: 254465   | Telah merating: 77 buku
User ID: 114988   | Telah merating: 76 buku
User ID: 251844   | Telah merating: 75 buku
User ID: 270713   | Telah merating: 75 buku
User ID: 156150   | Telah merating: 74 buku
User ID: 105979   | Telah merating: 73 buku
User ID: 110912   | Telah merating: 73 buku
User ID: 217318   | Telah merating: 73 buku
User ID: 87141    | Telah merating: 72 buku
User ID: 226965   | Telah merating: 72 buku
User ID: 227705   | Telah merating: 72 buku
User ID: 25409    | Telah merating: 71 buku
User ID: 28634    | Telah merating: 71 buku
User ID: 69697    | Telah merating: 71 buku
User ID: 102647   | Telah merating: 71 buku
User ID: 174304   | Telah merating: 71 buku
User ID: 197659   | Telah merating: 71 buku
User ID: 214786   | Telah merating: 71 buku
User ID: 229741   | Telah merating: 71 buku
User ID: 240567   | Telah merating: 71 buku
User ID: 6251     | Telah merating: 70 buku
User ID: 88733    | Telah merating: 70 buku
User ID: 187256   | Telah merating: 69 buku
User ID: 196077   | Telah merating: 69 buku
User ID: 6543     | Telah merating: 68 buku
User ID: 115003   | Telah merating: 68 buku
User ID: 179718   | Telah merating: 68 buku
User ID: 248718   | Telah merating: 68 buku
User ID: 236340   | Telah merating: 67 buku
User ID: 16634    | Telah merating: 66 buku
User ID: 53220    | Telah merating: 66 buku
User ID: 76626    | Telah merating: 66 buku
User ID: 165308   | Telah merating: 66 buku
User ID: 203240   | Telah merating: 66 buku
User ID: 211426   | Telah merating: 66 buku
User ID: 229011   | Telah merating: 66 buku
User ID: 274301   | Telah merating: 66 buku
User ID: 4017     | Telah merating: 65 buku
User ID: 40889    | Telah merating: 65 buku
User ID: 114544   | Telah merating: 65 buku
User ID: 168245   | Telah merating: 65 buku
User ID: 184299   | Telah merating: 65 buku
User ID: 232945   | Telah merating: 65 buku
User ID: 252695   | Telah merating: 65 buku
User ID: 266056   | Telah merating: 65 buku
User ID: 164323   | Telah merating: 64 buku
User ID: 173415   | Telah merating: 64 buku
User ID: 223501   | Telah merating: 64 buku
User ID: 93047    | Telah merating: 63 buku
User ID: 141444   | Telah merating: 63 buku
User ID: 163973   | Telah merating: 63 buku
User ID: 165319   | Telah merating: 63 buku
User ID: 177458   | Telah merating: 63 buku
User ID: 59172    | Telah merating: 62 buku
User ID: 69389    | Telah merating: 62 buku
User ID: 163804   | Telah merating: 62 buku
User ID: 8245     | Telah merating: 61 buku
User ID: 128835   | Telah merating: 61 buku
User ID: 241666   | Telah merating: 61 buku
User ID: 22625    | Telah merating: 60 buku
User ID: 30735    | Telah merating: 60 buku
User ID: 264031   | Telah merating: 60 buku
User ID: 36606    | Telah merating: 59 buku
User ID: 56554    | Telah merating: 59 buku
User ID: 113270   | Telah merating: 59 buku
User ID: 123981   | Telah merating: 59 buku
User ID: 130571   | Telah merating: 59 buku
User ID: 150979   | Telah merating: 59 buku
User ID: 194600   | Telah merating: 59 buku
User ID: 43910    | Telah merating: 58 buku
User ID: 81560    | Telah merating: 58 buku
User ID: 136348   | Telah merating: 58 buku
User ID: 187145   | Telah merating: 58 buku
User ID: 244627   | Telah merating: 58 buku
User ID: 265115   | Telah merating: 58 buku
User ID: 30276    | Telah merating: 57 buku
User ID: 101851   | Telah merating: 57 buku
User ID: 177072   | Telah merating: 57 buku
User ID: 178522   | Telah merating: 57 buku
User ID: 208671   | Telah merating: 57 buku
User ID: 225763   | Telah merating: 57 buku
User ID: 246311   | Telah merating: 57 buku
User ID: 48025    | Telah merating: 56 buku
User ID: 67840    | Telah merating: 56 buku
User ID: 129716   | Telah merating: 56 buku
User ID: 142524   | Telah merating: 56 buku
User ID: 147847   | Telah merating: 56 buku
User ID: 193898   | Telah merating: 56 buku
